Cereal Name;Manufacturer;Type;Calories;Protein (g);Fat;Sodium;Dietary Fiber;Carbs;Sugars;Display Shelf;Potassium;Vitamins and Minerals;Serving Size Weight;Cups per Serving;Rating
100%_Bran;Nabisco;C;70;4;1;130;10;5;6;3;280;25;1;0,33;68,402973
100%_Natural_Bran;Quaker Oats;C;120;3;5;15;2;8;8;3;135;0;1;-1;33,983679
All-Bran;Kelloggs;C;70;4;1;260;9;7;5;3;320;25;1;0,33;59,425505
All-Bran_with_Extra_Fiber;Kelloggs;C;50;4;0;140;14;8;0;3;330;25;1;0,5;93,704912
Apple_Cinnamon_Cheerios;General Mills;C;110;2;2;180;1,5;10,5;10;1;70;25;1;0,75;29,509541
Basic_4;General Mills;C;130;3;2;210;2;18;8;3;100;25;1,33;0,75;37,038562
Bran_Chex;Ralston Purina;C;90;2;1;200;4;15;6;1;125;25;1;0,67;49,120253
Bran_Flakes;Post;C;90;3;0;210;5;13;5;3;190;25;1;0,67;53,313813
Cap'n'Crunch;Quaker Oats;C;120;1;2;220;0;12;12;2;35;25;1;0,75;18,042851
Cheerios;General Mills;C;110;6;2;290;2;17;1;1;105;25;1;1,25;50,764999
Cinnamon_Toast_Crunch;General Mills;C;120;1;3;210;0;13;9;2;45;25;1;0,75;19,823573
Clusters;General Mills;C;110;3;2;140;2;13;7;3;105;25;1;0,5;40,400208
Cocoa_Puffs;General Mills;C;110;1;1;180;0;12;13;2;55;25;1;1;22,736446
Corn_Chex;Ralston Purina;C;110;2;0;280;0;22;3;1;25;25;1;1;41,445019
Corn_Flakes;Kelloggs;C;100;2;0;290;1;21;2;1;35;25;1;1;45,863324
Corn_Pops;Kelloggs;C;110;1;0;90;1;13;12;2;20;25;1;1;35,782791
Count_Chocula;General Mills;C;110;1;1;180;0;12;13;2;65;25;1;1;22,396513
Cracklin'_Oat_Bran;Kelloggs;C;110;3;3;140;4;10;7;3;160;25;1;0,5;40,448772
Crispix;Kelloggs;C;110;2;0;220;1;21;3;3;30;25;1;1;46,895644
Crispy_Wheat_&_Raisins;General Mills;C;100;2;1;140;2;11;10;3;120;25;1;0,75;36,176196
Double_Chex;Ralston Purina;C;100;2;0;190;1;18;5;3;80;25;1;0,75;44,330856
Froot_Loops;Kelloggs;C;110;2;1;125;1;11;13;2;30;25;1;1;32,207582
Frosted_Flakes;Kelloggs;C;110;1;0;200;1;14;11;1;25;25;1;0,75;31,435973
Frosted_Mini-Wheats;Kelloggs;C;100;3;0;0;3;14;7;2;100;25;1;0,8;58,345141
Fruitful_Bran;Kelloggs;C;120;3;0;240;5;14;12;3;190;25;1,33;0,67;41,015492
Fruity_Pebbles;Post;C;110;1;1;135;0;13;12;2;25;25;1;0,75;28,025765
Golden_Crisp;Post;C;100;2;0;45;0;11;15;1;40;25;1;0,88;35,252444
Golden_Grahams;General Mills;C;110;1;1;280;0;15;9;2;45;25;1;0,75;23,804043
Grape_Nuts_Flakes;Post;C;100;3;1;140;3;15;5;3;85;25;1;0,88;52,076897
Grape-Nuts;Post;C;110;3;0;170;3;17;3;3;90;25;1;0,25;53,371007
Great_Grains_Pecan;Post;C;120;3;3;75;3;13;4;3;100;25;1;0,33;45,811716
Honey_Graham_Ohs;Quaker Oats;C;120;1;2;220;1;12;11;2;45;25;1;1;21,871292
Honey_Nut_Cheerios;General Mills;C;110;3;1;250;1,5;11,5;10;1;90;25;1;0,75;31,072217
